entity_id,entity_name
156b8af0-452b-c157-fb3f-808e965eb972,SELECTION RETAIL PRIVATE LIMITED
50887d66-835f-07cd-9467-d81ab79b010e,NAVYUG TRADERS LLP
c81b9d17-1af4-c5b9-79d8-534fe5c0de64,UMANG ENTERPRISES AND SONS
0a816410-3a62-7605-a6de-84c6bbd5bf99,SELECTRICITY HOLDINGS PVT LTD
35003f65-ebe6-65a7-f15c-65724c50da17,ORBIT COMMERCE LIMITED
397afc21-905b-af82-0e97-f44920826c26,MERIDIAN SUPPLY ENTERPRISES
e6bc12d4-0181-63a3-ae49-056c09f06dc3,PINNACLE DISTRIBUTORS PRIVATE LIMITED
972ae875-37d0-8748-ddfa-97d7e81b5615,ARCLIGHT VENTURES LLP
ca30089a-2a29-a317-94e0-f8a3affdc839,KESHAV INDUSTRIES AND SONS
54cd709b-a432-7d3f-3631-e585fd5506c4,SANCHAY TRADING PVT LTD
cb847fa9-ee65-cf9f-a945-43abd8730474,VISTARA MERCHANTS LIMITED
c1119470-18ef-d41a-0aec-61f29421f7c1,AMBER LOGISTICS ENTERPRISES
0c703ae9-a002-b902-d1b7-c2c065561464,NORTHSTAR RETAIL PRIVATE LIMITED
4ac25917-aa58-803b-cc2a-0af9ba47f319,GRANITE COMMERCE LLP
07e63226-9691-e6ca-6c13-ecf91f9df2b9,BLUEWAVE TRADERS AND SONS
87a134dc-0c53-ba1c-09a6-fe2990cb1332,SUNRISE DISTRIBUTORS PVT LTD
0dac5121-b901-7ff7-1acf-69ee63924406,CRESCENT SUPPLY LIMITED
971ad416-33b4-42a7-8347-51862e7cb739,IRONWOOD VENTURES ENTERPRISES
6cf43a9a-4545-8bb0-17f3-cf8a8e29ed2a,SAPPHIRE RETAIL PRIVATE LIMITED
f9e0a4fb-8379-af50-341e-556e8daab934,TERRAFIRMA TRADING LLP
67ed50ed-3ad2-d9c0-0a05-a1bb10d79127,VELOCITY MERCHANTS AND SONS
50f0c0a4-c5ef-c14c-8d5f-6163df1e5eb9,HARBOUR ENTERPRISES PVT LTD
fdde3676-be26-9dd4-528b-4b5add31cb6e,KINETIC DISTRIBUTORS LIMITED
ee97144e-65a0-21f0-830a-3d73bbe51d49,ZENITH COMMERCE ENTERPRISES
427d0b4b-183c-cfb6-2c9c-8c170951902a,PARAMOUNT SUPPLY PRIVATE LIMITED
85716e78-b42d-59eb-eea4-a20ba5686ef2,EASTGATE TRADERS LLP
807470f8-d14a-de4d-8698-2026346cf2f3,SILVERLINE RETAIL AND SONS
7f1720b1-47c7-5f8e-dd4b-3000fb5deb8c,MOMENTUM VENTURES PVT LTD
70099cd1-d6d8-e8c0-7aa9-17dd2926ee57,CLEARWATER TRADING LIMITED
7cdac201-d743-1f57-98bd-3daeff7ab29e,REDSTONE COMMERCE ENTERPRISES
61b0dbb2-6529-c293-e89e-8bf5d49c97af,APEX MERCHANTS PRIVATE LIMITED
054e953f-d3f6-6269-1471-024d06f19b1b,LIGHTHOUSE SUPPLY LLP
f2216cc5-f6e5-bc53-953e-d3e18e091052,FALCON DISTRIBUTORS AND SONS
dbd91bee-ca08-1cf2-6241-ccf0f6b4f642,MERCURY RETAIL PVT LTD
8e39576c-1770-1b12-c49a-37ec6166351d,OASIS ENTERPRISES LIMITED
9185a435-76ff-9dac-6599-b576aaf60e81,TITAN TRADING ENTERPRISES
df01abb3-4a50-95b8-e620-34b6a56430b8,COMPASS COMMERCE PRIVATE LIMITED
e2da65a5-6804-f74e-92c5-ce1ca91e5ae4,EVEREST SUPPLY LLP
4fb14ef3-fb78-5bbf-3046-4173f0440540,LOTUS DISTRIBUTORS AND SONS
0bd69e7d-6bef-709c-e6f7-7c38a2f6b470,PHOENIX VENTURES PVT LTD
3a95adbc-d5aa-ecf5-2446-0ce38b6091ec,SELECTION RETAIL LIMITED
0d520acb-1c66-f6ad-10d4-f8d134872a52,NAVYUG TRADERS ENTERPRISES
17c69266-0d42-7175-b860-5b5cdb64ec70,UMANG ENTERPRISES PRIVATE LIMITED
fca5fb1e-4843-cc00-0435-07b5d17537fd,SELECTRICITY HOLDINGS LLP
1d541fb4-1f4b-2265-ea03-417df4efe322,ORBIT COMMERCE AND SONS
fc4f8f43-dc53-a533-8bb7-b6d4a4f36f4a,MERIDIAN SUPPLY PVT LTD
1b946134-84d1-6ef3-5067-4f964c5f1743,PINNACLE DISTRIBUTORS LIMITED
92d576ee-ee61-480f-8649-375540edaca7,ARCLIGHT VENTURES ENTERPRISES
